cluster,anchor_word,motiv_mean,motiv_sum,position_mean,anchor_score
above50_low,music louder,0.07328605200945626,62.0,60.304964539007095,14.137224782386072
above50_low,louder volume booster,0.06863905325443787,58.0,84.08757396449704,14.12055768179333
above50_low,free volume booster,0.04151838671411625,35.0,79.80901542111506,14.082885304659499
above50_medium,louder volume,0.48184818481848185,438.0,52.44004400440044,41.81704286601781
above50_medium,speaker booster,0.18456375838926176,165.0,81.10738255033557,41.13335158817086
above50_medium,sound booster free,0.38987043580683156,331.0,52.12720848056537,39.08940306681271
above50_zero,speaker booster free,0.0,0.0,82.93594306049822,35.125
above50_zero,volume booster,0.0,0.0,113.06085918854416,34.916666666666664
above50_zero,video volume booster,0.0,0.0,122.37948717948719,32.5
top10_high,ear spy,2.757608695652174,2537.0,6.016304347826087,31.166469661150515
top10_high,hearing amplifier,3.0174013921113687,2601.0,5.169373549883991,29.233141173456318
top10_high,hearing amplifier free,5.382352941176471,4575.0,5.9282352941176475,28.833224067599065
top10_low,hearing assist,0.056768558951965066,39.0,5.97962154294032,343.9875
top10_medium,super sound,0.9468713105076741,802.0,8.047225501770956,53.436877334993774
top10_medium,live listen,1.0851063829787233,918.0,9.460992907801419,53.37445593035908
top10_medium,hear,1.0603550295857989,896.0,7.5136094674556215,53.311942586399105
top10_zero,boom speaker,0.0,0.0,-1.0,4.25
top10_zero,oticon,0.0,0.0,-1.0,4.25
top50_high,sound amplifier,6.27765726681128,5788.0,13.966377440347072,46.59991362929694
top50_high,amplificador de volumen,1.230500582072177,1057.0,34.525029103608844,43.44952741020794
top50_high,hearing aid app,1.5901060070671378,1350.0,24.84687868080094,42.949629903774984
top50_low,headphone booster,0.057210965435041714,48.0,42.18831942789035,32.759026687598116
top50_low,speaker boost,0.03575685339690107,30.0,39.22884386174017,32.7531017369727
top50_low,boost volume up,0.07655502392344497,64.0,35.895933014354064,32.646153846153844
top50_medium,listening device,0.9186813186813186,836.0,34.032967032967036,25.777180406212665
top50_medium,sound booster,0.5381903642773208,458.0,46.03642773207991,24.137799564270153
top50_medium,audio boost,0.22077922077922077,187.0,22.467532467532468,24.02511820330969
top50_zero,hearmax,0.0,0.0,38.00727802037846,26.423076923076923
top50_zero,earmachine,0.0,0.0,14.483870967741936,26.23076923076923
top50_zero,airpod booster,0.0,0.0,27.62555720653789,25.884615384615383
